NUM     NOME      itp   DI HI M DF HF M      VAZAO
XXX XXXXXXXXXXXX   X    XXxXXxXxXXxXXxX     XXXXXXXXX
252 CANA BRAVA     1    01      F                 228
252 CANA BRAVA     1    02      F                 212
253 SAO SALVADOR   1    27      F                 215
253 SAO SALVADOR   1    28      F                 261
253 SAO SALVADOR   1    29      F                 279
253 SAO SALVADOR   1    30      F                 267
253 SAO SALVADOR   1    31      F                 246
253 SAO SALVADOR   1    01      F                 224
253 SAO SALVADOR   1    02      F                 209
267 ESTREITO TOC   1    27      F                2790
267 ESTREITO TOC   1    28      F                3899
267 ESTREITO TOC   1    29      F                4890
267 ESTREITO TOC   1    30      F                5265
267 ESTREITO TOC   1    31      F                5188
267 ESTREITO TOC   1    01      F                4827
267 ESTREITO TOC   1    02      F                4365
281 PONTE PEDRA    1    27      F                  63
281 PONTE PEDRA    1    29      F                  62
281 PONTE PEDRA    1    31      F                  63
281 PONTE PEDRA    1    01      F                  64
281 PONTE PEDRA    1    02      F                  65
  9 JAGUARA        1    27      F                  10
  9 JAGUARA        1    29      F                   9
  9 JAGUARA        1    31      F                   8
 26 MIRANDA        1    27      F                  13
 26 MIRANDA        1    28      F                  12
 26 MIRANDA        1    29      F                  11
 26 MIRANDA        1    30      F                  10
 26 MIRANDA        1    31      F                   9
 26 MIRANDA        1    02      F                  10
 86 BARRA GRANDE   1    27      F                 222
 86 BARRA GRANDE   1    29      F                 233
 86 BARRA GRANDE   1    30      F                 222
 86 BARRA GRANDE   1    31      F                 200
 86 BARRA GRANDE   1    01      F                 176
 86 BARRA GRANDE   1    02      F                 154
 90 CAMPOS NOVOS   1    27      F                  56
 90 CAMPOS NOVOS   1    28      F                  50
 90 CAMPOS NOVOS   1    29      F                  46
 90 CAMPOS NOVOS   1    30      F                  43
 90 CAMPOS NOVOS   1    31      F                  39
 90 CAMPOS NOVOS   1    01      F                  35
